package_name,app_name,reviews,avg_stars,dataset,github_repo,likely_applicable
org.evilsoft.pathfinder.reference,,409,4.72,sealuzh/app_reviews,,False
github.daneren2005.dsub,,405,4.57,sealuzh/app_reviews,,False
org.connectbot,,403,4.07,sealuzh/app_reviews,,False
com.eolwral.osmonitor,,402,4.38,sealuzh/app_reviews,,False
org.dsandler.apps.markers,,400,4.11,sealuzh/app_reviews,,False
com.shatteredpixel.shatteredpixeldungeon,,400,4.52,sealuzh/app_reviews,00-Evan/shattered-pixel-dungeon,True
com.midisheetmusic,,398,4.31,sealuzh/app_reviews,,False
in.blogspot.anselmbros.torchie,,386,3.77,sealuzh/app_reviews,,False
org.kde.kdeconnect_tp,,374,4.7,sealuzh/app_reviews,KDE/kdeconnect-android,True
de.j4velin.wifiAutoOff,,362,3.85,sealuzh/app_reviews,,False
giraffine.dimmer,,352,4.32,sealuzh/app_reviews,,False
net.osmand.plus,,343,3.76,sealuzh/app_reviews,osmandapp/OsmAnd,True
de.mangelow.network,,331,3.61,sealuzh/app_reviews,,False
simple.reboot.com,,329,4.19,sealuzh/app_reviews,,False
com.ghstudios.android.mhgendatabase,,324,4.6,sealuzh/app_reviews,,False
com.gelakinetic.mtgfam,,324,4.69,sealuzh/app_reviews,,False
com.jefftharris.passwdsafe,,324,4.45,sealuzh/app_reviews,,False
com.farmerbb.taskbar,,312,4.22,sealuzh/app_reviews,,False
com.boardgamegeek,,306,3.53,sealuzh/app_reviews,,False
net.somethingdreadful.MAL,,304,3.51,sealuzh/app_reviews,,False
com.easytarget.micopi,,297,3.5,sealuzh/app_reviews,,False
eu.faircode.netguard,,295,3.99,sealuzh/app_reviews,,False
uk.org.ngo.squeezer,,294,4.22,sealuzh/app_reviews,,False
acr.browser.lightning,,294,3.86,sealuzh/app_reviews,,False
jackpal.androidterm,,293,4.12,sealuzh/app_reviews,,False
com.pilot51.voicenotify,,292,4.11,sealuzh/app_reviews,,False
com.mendhak.gpslogger,,292,4.01,sealuzh/app_reviews,,False
org.transdroid.lite,,288,3.58,sealuzh/app_reviews,,False
net.sourceforge.subsonic.androidapp,,285,3.47,sealuzh/app_reviews,,False
net.minetest.minetest,,271,3.34,sealuzh/app_reviews,,False
dev.ukanth.ufirewall,,266,4.0,sealuzh/app_reviews,,False
com.u17od.upm,,260,4.07,sealuzh/app_reviews,,False
wb.receiptspro,,260,4.73,sealuzh/app_reviews,,False
com.byagowi.persiancalendar,,257,4.63,sealuzh/app_reviews,,False
com.emmaguy.cleanstatusbar,,256,3.77,sealuzh/app_reviews,,False
com.dougkeen.bart,,253,4.3,sealuzh/app_reviews,,False
ru.meefik.busybox,,252,4.54,sealuzh/app_reviews,,False
com.kaneoriley.cyanogenport.launcher3,,250,4.4,sealuzh/app_reviews,,False
com.simplemobiletools.calendar,,250,4.32,sealuzh/app_reviews,SimpleMobileTools/Simple-Calendar,True
com.adam.aslfms,,250,3.28,sealuzh/app_reviews,,False
org.thialfihar.android.apg,,249,3.95,sealuzh/app_reviews,,False
net.bible.android.activity,,248,4.62,sealuzh/app_reviews,,False
com.lukekorth.screennotifications,,246,3.98,sealuzh/app_reviews,,False
de.onyxbits.textfiction,,245,4.18,sealuzh/app_reviews,,False
com.colinmcdonough.android.torch,,244,4.47,sealuzh/app_reviews,,False
ch.blinkenlights.battery,,242,4.1,sealuzh/app_reviews,,False
org.odk.collect.android,,238,4.4,sealuzh/app_reviews,,False
net.pierrox.mcompass,,237,3.91,sealuzh/app_reviews,,False
com.nolanlawson.logcat,,235,4.11,sealuzh/app_reviews,,False
dk.andsen.asqlitemanager,,234,4.34,sealuzh/app_reviews,,False
de.qspool.clementineremote,,234,4.38,sealuzh/app_reviews,,False
com.alfray.timeriffic,,230,4.2,sealuzh/app_reviews,,False
com.namelessdev.mpdroid,,229,4.54,sealuzh/app_reviews,,False
com.umang.dashnotifier,,226,3.81,sealuzh/app_reviews,,False
com.f2prateek.dfg,,226,3.73,sealuzh/app_reviews,,False
ca.mimic.apphangar,,225,3.9,sealuzh/app_reviews,,False
de.onyxbits.remotekeyboard,,225,4.36,sealuzh/app_reviews,,False
com.vuze.android.remote,,219,4.44,sealuzh/app_reviews,,False
de.j4velin.systemappmover,,213,3.73,sealuzh/app_reviews,,False
com.github.wdkapps.fillup,,211,4.09,sealuzh/app_reviews,,False
org.smssecure.smssecure,,210,4.11,sealuzh/app_reviews,SilenceIM/Silence,True
org.scoutant.cc,,205,4.41,sealuzh/app_reviews,,False
com.dynamicg.homebuttonlauncher,,200,4.46,sealuzh/app_reviews,,False
naman14.timber,,196,4.01,sealuzh/app_reviews,,False
com.angrydoughnuts.android.alarmclock,,192,3.3,sealuzh/app_reviews,,False
org.fedorahosted.freeotp,,180,4.19,sealuzh/app_reviews,,False
com.gmail.jerickson314.sdscanner,,177,3.8,sealuzh/app_reviews,,False
com.owncloud.android,,177,2.51,sealuzh/app_reviews,owncloud/android,True
org.tasks,,175,4.1,sealuzh/app_reviews,tasks/tasks,True
com.gh4a,,170,3.88,sealuzh/app_reviews,,False
de.ub0r.android.smsdroid,,168,3.19,sealuzh/app_reviews,,False
app.openconnect,,167,4.46,sealuzh/app_reviews,,False
net.momodalo.app.vimtouch,,166,3.63,sealuzh/app_reviews,,False
com.github.andlyticsproject,,166,4.38,sealuzh/app_reviews,,False
fr.neamar.kiss,,166,4.3,sealuzh/app_reviews,,False
com.frozendevs.cache.cleaner,,165,4.48,sealuzh/app_reviews,,False
com.thibaudperso.sonycamera,,165,3.59,sealuzh/app_reviews,,False
de.ub0r.android.callmeter,,164,4.07,sealuzh/app_reviews,,False
com.darshancomputing.BatteryIndicator,,149,4.28,sealuzh/app_reviews,,False
teaonly.droideye,,143,3.06,sealuzh/app_reviews,,False
org.servalproject,,143,4.03,sealuzh/app_reviews,,False
ca.rmen.android.poetassistant,,140,4.65,sealuzh/app_reviews,,False
org.openintents.safe,,139,3.96,sealuzh/app_reviews,,False
net.wigle.wigleandroid,,139,3.96,sealuzh/app_reviews,,False
biz.gyrus.yaab,,137,4.08,sealuzh/app_reviews,,False
de.szalkowski.activitylauncher,,137,4.23,sealuzh/app_reviews,,False
org.helllabs.android.xmp,,133,4.72,sealuzh/app_reviews,,False
org.linphone,,131,3.24,sealuzh/app_reviews,,False
net.fred.feedex,,129,3.98,sealuzh/app_reviews,,False
com.unleashyouradventure.swaccess,,125,4.06,sealuzh/app_reviews,,False
com.banasiak.coinflip,,123,4.2,sealuzh/app_reviews,,False
jp.takke.cpustats,,121,4.63,sealuzh/app_reviews,,False
com.nolanlawson.keepscore,,120,3.88,sealuzh/app_reviews,,False
org.androidsoft.app.permission,,120,3.95,sealuzh/app_reviews,,False
org.brandroid.openmanager,,118,4.19,sealuzh/app_reviews,,False
net.cyclestreets,,118,2.9,sealuzh/app_reviews,,False
de.saschahlusiak.freebloks,,117,4.72,sealuzh/app_reviews,,False
org.dmfs.tasks,,115,3.86,sealuzh/app_reviews,tasks/tasks,True
org.sipdroid.sipua,,114,3.11,sealuzh/app_reviews,,False
me.tsukanov.counter,,111,4.57,sealuzh/app_reviews,,False
org.cyanogenmod.great.freedom,,109,4.2,sealuzh/app_reviews,,False
net.kervala.comicsreader,,107,3.22,sealuzh/app_reviews,,False
com.github.premnirmal.tickerwidget,,107,4.44,sealuzh/app_reviews,,False
de.srlabs.snoopsnitch,,104,2.62,sealuzh/app_reviews,,False
org.tint,,100,3.78,sealuzh/app_reviews,,False
dk.nindroid.rss,,100,4.01,sealuzh/app_reviews,,False
com.aselalee.trainschedule,,99,3.65,sealuzh/app_reviews,,False
com.simplemobiletools.filemanager,,97,4.25,sealuzh/app_reviews,,False
org.yuttadhammo.BodhiTimer,,95,4.28,sealuzh/app_reviews,,False
me.phh.superuser,,94,4.23,sealuzh/app_reviews,,False
com.commit451.gitlab,,94,4.18,sealuzh/app_reviews,,False
org.sufficientlysecure.keychain,,93,3.49,sealuzh/app_reviews,open-keychain/open-keychain,True
com.nextcloud.client,,93,3.62,sealuzh/app_reviews,nextcloud/android,True
com.hobbyone.HashDroid,,91,4.34,sealuzh/app_reviews,,False
com.gulshansingh.hackerlivewallpaper,,89,4.43,sealuzh/app_reviews,,False
ro.mihai.tpt,,89,3.3,sealuzh/app_reviews,,False
ch.blinkenlights.android.vanilla,,89,4.44,sealuzh/app_reviews,,False
im.vector.alpha,,88,4.18,sealuzh/app_reviews,,False
com.dozingcatsoftware.asciicam,,87,4.1,sealuzh/app_reviews,,False
org.yaaic,,86,3.28,sealuzh/app_reviews,,False
com.nauj27.android.colorpicker,,85,3.98,sealuzh/app_reviews,,False
com.doplgangr.secrecy,,84,3.18,sealuzh/app_reviews,,False
ru.gelin.android.browser.open,,83,3.93,sealuzh/app_reviews,,False
nitezh.ministock,,83,3.51,sealuzh/app_reviews,,False
com.oakley.fon,,83,2.18,sealuzh/app_reviews,,False
com.ghostsq.commander,,82,4.22,sealuzh/app_reviews,,False
org.openintents.shopping,,81,3.19,sealuzh/app_reviews,,False
it.iiizio.epubator,,81,3.81,sealuzh/app_reviews,,False
com.mantz_it.rfanalyzer,,80,4.31,sealuzh/app_reviews,,False
com.simplemobiletools.musicplayer,,80,4.05,sealuzh/app_reviews,,False
com.morlunk.mumbleclient,,79,4.39,sealuzh/app_reviews,,False
com.elsdoerfer.android.autostarts,,77,2.71,sealuzh/app_reviews,,False
org.scid.android,,77,4.21,sealuzh/app_reviews,,False
com.matejdro.pebbledialer,,77,3.49,sealuzh/app_reviews,,False
org.mysociety.FixMyStreet,,77,3.08,sealuzh/app_reviews,,False
org.scoutant.blokish,,76,4.3,sealuzh/app_reviews,,False
org.libreoffice.impressremote,,75,4.57,sealuzh/app_reviews,,False
com.javiersantos.mlmanager,,74,4.49,sealuzh/app_reviews,,False
jp.co.kayo.android.localplayer,,73,3.38,sealuzh/app_reviews,,False
apps.droidnotify,,73,3.85,sealuzh/app_reviews,,False
com.mill_e.twitterwrapper,,72,3.82,sealuzh/app_reviews,,False
com.simplemobiletools.camera,,72,3.86,sealuzh/app_reviews,,False
com.powerpoint45.lucidbrowser,,71,3.89,sealuzh/app_reviews,,False
org.yuttadhammo.tipitaka,,70,4.86,sealuzh/app_reviews,,False
marto.rtl_tcp_andro,,70,3.8,sealuzh/app_reviews,,False
eu.siacs.conversations,,69,4.19,sealuzh/app_reviews,,False
com.bleyl.recurrence,,68,4.32,sealuzh/app_reviews,,False
org.quantumbadger.redreader,,68,4.57,sealuzh/app_reviews,,False
com.yassirh.digitalocean,,67,4.42,sealuzh/app_reviews,,False
info.guardianproject.pixelknot,,66,3.0,sealuzh/app_reviews,,False
org.totschnig.myexpenses,,66,3.88,sealuzh/app_reviews,,False
com.dngames.mobilewebcam,,65,4.26,sealuzh/app_reviews,,False
me.bpear.archonpackager,,63,4.29,sealuzh/app_reviews,,False
com.andybotting.tramhunter,,63,4.17,sealuzh/app_reviews,,False
com.sam.hex,,61,3.57,sealuzh/app_reviews,,False
org.openintents.notepad,,61,3.84,sealuzh/app_reviews,,False
com.concentricsky.android.khan,,60,3.43,sealuzh/app_reviews,,False
com.harleensahni.android.mbr,,60,3.38,sealuzh/app_reviews,,False
com.nightshadelabs.anotherbrowser,,60,3.78,sealuzh/app_reviews,,False
com.soyblue.bluesound,,59,3.95,sealuzh/app_reviews,,False
a2dp.Vol,,59,3.76,sealuzh/app_reviews,,False
de.ub0r.android.websms,,58,3.16,sealuzh/app_reviews,,False
com.github.quarck.calnotify,,57,3.89,sealuzh/app_reviews,,False
net.sf.times,,57,4.49,sealuzh/app_reviews,,False
org.qii.weiciyuan,,56,4.09,sealuzh/app_reviews,,False
com.numix.calculator,,56,3.82,sealuzh/app_reviews,,False
org.nick.wwwjdic,,56,3.98,sealuzh/app_reviews,,False
com.artifex.mupdfdemo,,55,4.25,sealuzh/app_reviews,,False
tv.piratemedia.lightcontroler,,55,3.47,sealuzh/app_reviews,,False
jp.yhonda,,54,4.28,sealuzh/app_reviews,,False
com.jadn.cc,,54,4.35,sealuzh/app_reviews,,False
eu.mrogalski.saidit,,52,3.52,sealuzh/app_reviews,,False
de.onyxbits.listmyapps,,52,4.42,sealuzh/app_reviews,,False
com.nkanaev.comics,,51,4.02,sealuzh/app_reviews,,False
com.willhauck.linconnectclient,,50,4.1,sealuzh/app_reviews,,False
jwtc.android.chess,,50,3.82,sealuzh/app_reviews,,False
de.reimardoeffinger.quickdic,,50,4.46,sealuzh/app_reviews,,False
org.yaxim.androidclient,,48,3.98,sealuzh/app_reviews,,False
com.ubergeek42.WeechatAndroid,,48,4.02,sealuzh/app_reviews,,False
com.knirirr.beecount,,48,4.77,sealuzh/app_reviews,,False
com.ruesga.android.wallpapers.photophase,,48,3.83,sealuzh/app_reviews,,False
com.pilockerstable,,47,3.47,sealuzh/app_reviews,,False
de.eidottermihi.raspicheck,,46,3.93,sealuzh/app_reviews,,False
com.nononsenseapps.notepad,,45,3.8,sealuzh/app_reviews,,False
com.lgallardo.qbittorrentclientpro,,45,4.27,sealuzh/app_reviews,,False
org.ligi.fast,,43,4.53,sealuzh/app_reviews,,False
com.mgaetan89.showsrage,,43,4.19,sealuzh/app_reviews,,False
ru.gelin.android.weather.notification,,42,3.12,sealuzh/app_reviews,,False
fr.simon.marquis.secretcodes,,41,3.02,sealuzh/app_reviews,,False
douzifly.list,,41,4.07,sealuzh/app_reviews,,False
at.bitfire.davdroid,,40,4.65,sealuzh/app_reviews,,False
trikita.obsqr,,40,4.42,sealuzh/app_reviews,,False
org.jfedor.frozenbubble,,40,4.58,sealuzh/app_reviews,,False
com.iskrembilen.quasseldroid,,39,3.69,sealuzh/app_reviews,,False
goo.TeaTimer,,39,3.95,sealuzh/app_reviews,,False
com.brentpanther.bitcoinwidget,,39,4.46,sealuzh/app_reviews,,False
org.mozilla.mozstumbler,,39,3.59,sealuzh/app_reviews,,False
com.twofours.surespot,,39,3.72,sealuzh/app_reviews,,False
net.bytten.xkcdviewer,,38,4.63,sealuzh/app_reviews,,False
it.greenaddress.cordova,,38,1.97,sealuzh/app_reviews,,False
com.app.missednotificationsreminder,,38,3.63,sealuzh/app_reviews,,False
org.jsl.wfwt,,38,3.71,sealuzh/app_reviews,,False
com.googlecode.networklog,,36,3.81,sealuzh/app_reviews,,False
de.j4velin.pedometer,,36,3.64,sealuzh/app_reviews,,False
net.pmarks.chromadoze,,36,4.81,sealuzh/app_reviews,,False
cx.ring,,35,2.46,sealuzh/app_reviews,,False
org.sickstache,,34,3.53,sealuzh/app_reviews,,False
org.jessies.dalvikexplorer,,34,4.44,sealuzh/app_reviews,,False
com.zaren,,34,4.26,sealuzh/app_reviews,,False
com.darshancomputing.BatteryIndicatorPro,,34,3.82,sealuzh/app_reviews,,False
vu.de.urpool.quickdroid,,33,4.36,sealuzh/app_reviews,,False
org.tomdroid,,33,3.82,sealuzh/app_reviews,,False
com.frozendevs.periodictable,,33,4.48,sealuzh/app_reviews,,False
org.sagemath.droid,,33,2.88,sealuzh/app_reviews,,False
com.palliser.nztides,,33,4.55,sealuzh/app_reviews,,False
fr.simon.marquis.preferencesmanager,,33,3.88,sealuzh/app_reviews,,False
us.shandian.giga,,32,3.72,sealuzh/app_reviews,,False
com.innodroid.mongobrowser,,32,3.62,sealuzh/app_reviews,,False
org.montrealtransit.android,,32,4.72,sealuzh/app_reviews,,False
de.jurihock.voicesmith,,31,3.81,sealuzh/app_reviews,,False
com.MarcosDiez.shareviahttp,,31,4.61,sealuzh/app_reviews,,False
ch.corten.aha.worldclock,,31,4.0,sealuzh/app_reviews,,False
org.developfreedom.wordpowermadeeasy,,31,4.03,sealuzh/app_reviews,,False
jp.sblo.pandora.aGrep,,30,4.2,sealuzh/app_reviews,,False
uk.ac.ed.inf.mandelbrotmaps,,30,4.43,sealuzh/app_reviews,,False
com.gimranov.zandy.app,,30,2.67,sealuzh/app_reviews,,False
com.mobilepearls.sokoban,,30,4.37,sealuzh/app_reviews,,False
biz.codefuture.svgviewer,,30,2.77,sealuzh/app_reviews,,False
info.guardianproject.checkey,,30,4.23,sealuzh/app_reviews,,False
org.andglkmod.hunkypunk,,30,4.4,sealuzh/app_reviews,,False
org.primftpd,,30,4.23,sealuzh/app_reviews,,False
me.sheimi.sgit,,29,4.1,sealuzh/app_reviews,,False
us.bravender.android.dongsa,,28,4.14,sealuzh/app_reviews,,False
com.notriddle.budget,,28,3.96,sealuzh/app_reviews,,False
com.mridang.wifiinfo,,27,2.93,sealuzh/app_reviews,,False
au.com.wallaceit.reddinator,,27,4.52,sealuzh/app_reviews,,False
org.sufficientlysecure.localcalendar,,27,4.07,sealuzh/app_reviews,,False
com.dozingcatsoftware.bouncy,,27,4.74,sealuzh/app_reviews,,False
de.repat.mosf,,26,4.73,sealuzh/app_reviews,,False
et.nWifiManager,,26,3.65,sealuzh/app_reviews,,False
org.iilab.pb,,25,3.04,sealuzh/app_reviews,,False
org.kost.nmap.android.networkmapper,,25,2.8,sealuzh/app_reviews,,False
aws.apps.usbDeviceEnumerator,,25,4.08,sealuzh/app_reviews,,False
com.jonglen7.jugglinglab,,24,4.71,sealuzh/app_reviews,,False
com.bri1.soundbored,,24,3.29,sealuzh/app_reviews,,False
com.color.colornamer,,23,4.52,sealuzh/app_reviews,,False
com.amabyte.vtucslabmanual,,23,4.57,sealuzh/app_reviews,,False
org.mariotaku.twidere.extension.twitlonger,,23,2.04,sealuzh/app_reviews,,False
in.shick.diode,,23,3.87,sealuzh/app_reviews,,False
org.ametro,,23,3.39,sealuzh/app_reviews,,False
me.writeily,,22,3.86,sealuzh/app_reviews,,False
trikita.slide,,22,4.77,sealuzh/app_reviews,,False
mobi.omegacentauri.SendReduced,,22,4.55,sealuzh/app_reviews,,False
com.hectorone.multismssender,,22,3.18,sealuzh/app_reviews,,False
app.easytoken,,21,4.71,sealuzh/app_reviews,,False
jp.sfjp.webglmol.NDKmol,,21,4.14,sealuzh/app_reviews,,False
org.happysanta.gd,,21,4.57,sealuzh/app_reviews,,False
com.Pau.ImapNotes2,,21,2.76,sealuzh/app_reviews,,False
com.jmstudios.redmoon,,21,4.14,sealuzh/app_reviews,,False
com.axelby.podax,,20,2.95,sealuzh/app_reviews,,False
com.twinone.locker,,20,2.85,sealuzh/app_reviews,,False
org.traccar.client,,20,4.1,sealuzh/app_reviews,,False
com.ghostsq.commander.sftp,,20,4.55,sealuzh/app_reviews,,False
be.ppareit.shutdown,,19,3.21,sealuzh/app_reviews,,False
me.guillaumin.android.osmtracker,,19,3.74,sealuzh/app_reviews,,False
com.llamacorp.equate,,19,5.0,sealuzh/app_reviews,,False
org.geometerplus.fbreader.plugin.local_opds_scanner,,18,3.72,sealuzh/app_reviews,geometer/FBReaderJ,True
org.passwordmaker.android,,18,3.67,sealuzh/app_reviews,,False
de.yazo_games.mensaguthaben,,18,4.06,sealuzh/app_reviews,,False
jp.forkhub,,18,4.33,sealuzh/app_reviews,,False
kvj.taskw,,18,4.28,sealuzh/app_reviews,,False
org.addhen.smssync,,18,3.72,sealuzh/app_reviews,jberkel/sms-backup-plus,True
org.ligi.vaporizercontrol,,18,4.78,sealuzh/app_reviews,,False
com.drodin.tuxrider,,18,2.78,sealuzh/app_reviews,,False
rs.pedjaapps.alogcatroot.app,,17,3.47,sealuzh/app_reviews,,False
com.code61.deadpixel,,17,3.65,sealuzh/app_reviews,,False
net.iowaline.dotdash,,17,4.06,sealuzh/app_reviews,,False
org.zamedev.gloomydungeons2.opensource,,17,1.35,sealuzh/app_reviews,,False
com.ghostsq.commander.samba,,17,3.76,sealuzh/app_reviews,,False
org.androidsoft.coloring,,16,3.06,sealuzh/app_reviews,,False
org.tamanegi.atmosphere,,16,3.56,sealuzh/app_reviews,,False
de.azapps.mirakelandroid,,16,3.0,sealuzh/app_reviews,,False
at.bitfire.cadroid,,16,3.81,sealuzh/app_reviews,,False
be.uhasselt.privacypolice,,16,4.0,sealuzh/app_reviews,,False
net.codechunk.speedofsound,,16,4.12,sealuzh/app_reviews,,False
damo.three.ie,,16,4.88,sealuzh/app_reviews,,False
com.roguetemple.hyperroid,,16,4.69,sealuzh/app_reviews,,False
com.manuelmaly.hn,,16,4.12,sealuzh/app_reviews,,False
com.juet.attendance,,16,2.38,sealuzh/app_reviews,,False
de.onyxbits.sensorreadout,,15,4.67,sealuzh/app_reviews,,False
vnd.blueararat.kaleidoscope6,,15,3.73,sealuzh/app_reviews,,False
de.msal.muzei.nationalgeographic,,15,2.87,sealuzh/app_reviews,romannurik/muzei,True
net.kismetwireless.android.smarterwifimanager,,15,3.6,sealuzh/app_reviews,,False
com.foxykeep.lifecounter,,14,4.71,sealuzh/app_reviews,,False
com.brapeba.roaminginfo,,14,4.0,sealuzh/app_reviews,,False
com.termux.api,,14,4.29,sealuzh/app_reviews,termux/termux-app,True
mazechazer.android.wottankquiz,,13,3.54,sealuzh/app_reviews,,False
de.measite.contactmerger,,13,2.69,sealuzh/app_reviews,,False
com.jforce.chapelhillnextbus,,13,3.62,sealuzh/app_reviews,,False
net.lardcave.keepassnfc,,13,3.62,sealuzh/app_reviews,Kunzisoft/KeePassDX,True
org.numixproject.iconsubmit,,13,2.85,sealuzh/app_reviews,,False
com.maskyn.fileeditorpro,,13,3.92,sealuzh/app_reviews,,False
de.kugihan.dictionaryformids.hmi_android,,13,5.0,sealuzh/app_reviews,,False
com.dozingcatsoftware.cameratimer,,13,3.31,sealuzh/app_reviews,,False
com.pindroid,,13,4.31,sealuzh/app_reviews,,False
org.montrealtransit.android.schedule.stmbus,,13,4.31,sealuzh/app_reviews,,False
org.wheelmap.android.online,,13,3.23,sealuzh/app_reviews,,False
com.phpsysinfo,,13,3.69,sealuzh/app_reviews,,False
